# IntermediateAccelerations Buffer Dump - 15625 elements
# Index,X,Y,Z,Magnitude
0,3.378665,-9.8,-3.685732,11.00182
1,3.378665,-9.8,-3.685732,11.00182
2,3.378665,-9.8,-3.685732,11.00182
3,3.378665,-9.8,-3.685732,11.00182
4,3.378665,-9.8,-3.685732,11.00182
5,3.378665,-9.8,-3.685732,11.00182
6,3.378665,-9.8,-3.685732,11.00182
7,3.378665,-9.8,-3.685732,11.00182
8,3.378665,-9.8,-3.685732,11.00182
9,3.378665,-9.8,-3.685732,11.00182
10,3.378665,-9.8,-3.685732,11.00182
11,3.378665,-9.8,-3.685732,11.00182
12,3.378665,-9.8,-3.685732,11.00182
13,3.378665,-9.8,-3.685732,11.00182
14,3.378665,-9.8,-3.685732,11.00182
15,3.378665,-9.8,-3.685732,11.00182
16,3.378665,-9.8,-3.685732,11.00182
17,3.378665,-9.8,-3.685732,11.00182
18,3.378665,-9.8,-3.685732,11.00182
19,3.378665,-9.8,-3.685732,11.00182
20,3.378665,-9.8,-3.685732,11.00182
21,3.378665,-9.8,-3.685732,11.00182
22,3.378665,-9.8,-3.685732,11.00182
23,3.378665,-9.8,-3.685732,11.00182
24,3.378665,-9.8,-3.685732,11.00182
25,3.378665,-9.8,-3.685732,11.00182
26,3.378665,-9.8,-3.685732,11.00182
27,3.378665,-9.8,-3.685732,11.00182
28,3.378665,-9.8,-3.685732,11.00182
29,3.378665,-9.8,-3.685732,11.00182
30,3.378665,-9.8,-3.685732,11.00182
31,3.378665,-9.8,-3.685732,11.00182
32,3.378665,-9.8,-3.685732,11.00182
33,3.378665,-9.8,-3.685732,11.00182
34,3.378665,-9.8,-3.685732,11.00182
35,3.378665,-9.8,-3.685732,11.00182
36,3.378665,-9.8,-3.685732,11.00182
37,3.378665,-9.8,-3.685732,11.00182
38,3.378665,-9.8,-3.685732,11.00182
39,3.378665,-9.8,-3.685732,11.00182
40,3.378665,-9.8,-3.685732,11.00182
41,3.378665,-9.8,-3.685732,11.00182
42,3.378665,-9.8,-3.685732,11.00182
43,3.378665,-9.8,-3.685732,11.00182
44,3.378665,-9.8,-3.685732,11.00182
45,3.378665,-9.8,-3.685732,11.00182
46,3.378665,-9.8,-3.685732,11.00182
47,3.378665,-9.8,-3.685732,11.00182
48,3.378665,-9.8,-3.685732,11.00182
49,3.378665,-9.8,-3.685732,11.00182
50,3.378665,-9.8,-3.685732,11.00182
51,3.378665,-9.8,-3.685732,11.00182
52,3.378665,-9.8,-3.685732,11.00182
53,3.378665,-9.8,-3.685732,11.00182
54,3.378665,-9.8,-3.685732,11.00182
55,3.378665,-9.8,-3.685732,11.00182
56,3.378665,-9.8,-3.685732,11.00182
57,3.378665,-9.8,-3.685732,11.00182
