# Aii Buffer Dump - 15625 elements
# Index,Value
0,-0.2970265
1,-0.09368295
2,-0.2970265
3,-0.2970265
4,-0.2970265
5,-0.3920484
6,-0.09804416
7,-0.2970265
8,-0.4542576
9,-0.2970265
10,-0.09168969
11,-0.09168887
12,-0.2970265
13,-0.09381729
14,-0.09094404
15,-0.1006431
16,-0.0976533
17,-0.06577681
18,-0.07117157
19,-0.09412926
20,-0.09358985
21,-0.09810821
22,-0.1062358
23,-0.08804914
24,-0.0972221
25,-1.377321
26,-1.252712
27,-0.8564246
28,-4.834117
29,-6.797968
30,-5.180231
31,-0.1752707
32,-0.2482393
33,-0.2347402
34,-0.4452722
35,-0.05691455
36,-0.05037582
37,-0.05037367
38,-0.05691737
39,-0.1066067
40,-0.09338961
41,-1.494893
42,-0.8150912
43,-3.395285
44,-0.1868433
45,-0.4301513
46,-0.5857656
47,-0.2097924
48,-0.1952714
49,-0.1289492
50,-0.1332845
51,-0.5930175
52,-0.1767115
53,-0.1230176
54,-0.1842206
55,-0.4654977
56,-0.09493642
57,-0.08926301
58,-0.08888513
59,-0.09285225
60,-0.09452303
61,-0.09475084
62,-0.09588507
63,-0.08299803
64,-3.278877
65,-2.305767
66,-1.516432
67,-0.5433359
68,-0.1196161
69,-0.1196679
70,-0.08557952
71,-0.05124015
72,-0.05126989
73,-2.977334
74,-0.3500111
75,-0.3227033
76,-0.3977481
77,-0.3830997
78,-0.1746097
79,-3.260146
80,-0.3122408
81,-0.3005871
82,-0.1641982
83,-0.3622421
84,-0.6521944
85,-0.08355623
86,-0.08029202
87,-0.08693315
88,-0.1029266
89,-0.09178944
90,-0.08625031
91,-0.0989604
92,-0.07727374
93,-3.908511
94,-1.835496
95,-0.9103134
96,-1.498683
97,-0.5724579
98,-0.876946
99,-0.06512979
100,-0.05507256
101,-0.05507375
102,-0.05417717
103,-0.06553717
104,-0.05416701
105,-0.2535352
106,-0.1307952
107,-0.05820613
108,-0.1308841
109,-0.05823152
110,-0.1548206
111,-0.1550293
112,-2.800176
113,-6.348097
114,-0.6040869
115,-0.07203115
116,-0.0361429
117,-0.05144412
118,-0.09254753
119,-0.3573987
120,-0.6626883
121,-0.02343705
122,-0.03261961
123,-0.03651078
124,-0.900427
125,-13.03342
126,-1.126873
127,-0.8674144
128,-0.3060573
129,-1.875488
130,-0.09045722
131,-0.07854838
132,-0.0907459
133,-0.09534132
134,-0.09639683
135,-0.09650905
136,-0.3280408
137,-0.3722785
138,-0.2261753
139,-0.3164228
140,-0.2353934
141,-0.6262321
142,-0.2265646
143,-0.3324704
144,-0.145051
145,-0.1010925
146,-0.09806177
147,-0.1654797
148,-0.1443554
149,-0.6191015
150,-0.1458852
151,-0.1367493
152,-0.1468476
153,-0.1442489
154,-0.1805954
155,-0.1156202
156,-0.1418927
157,-21.10926
158,-41.78704
159,-2.779843
160,-1.969499
161,-2.991791
162,-1.583981
163,-0.2370424
164,-1.014945
165,-0.1011509
166,-0.09167486
167,-0.09168077
168,-0.1255285
169,-0.1040914
170,-0.1211318
171,-0.1011425
172,-0.138878
173,-0.1331741
174,-0.1297031
175,-0.1296984
176,-0.1342688
177,-0.1342678
178,-0.1062923
179,-0.09749676
180,-0.09380654
181,-7.312612
182,-0.001468058
183,-0.00161439
184,-2.411456
185,-3.254573
186,-1.172101
187,-0.1258705
188,-0.1208262
189,-0.09614408
190,-0.06928794
191,-0.1326348
192,-0.06676673
193,-0.07984518
194,-0.1248584
195,-0.1347221
196,-0.09862176
197,-0.104542
198,-0.09763213
199,-0.09672269
200,-0.1248655
201,-0.09906247
202,-0.09701636
203,-11.54728
204,-3.568919
205,-0.8022559
206,-0.8263127
207,-0.3167385
208,-0.6285594
209,-0.586021
210,-0.100653
211,-0.09196737
212,-0.0914266
213,-0.04746365
214,-0.1014043
215,-0.09142477
216,-0.04746534
217,-0.1040595
218,-0.09197047
219,-0.07977257
220,-0.07868329
221,-0.07868377
222,-0.115579
223,-0.09449407
224,-0.1028881
225,-0.09755704
226,-0.124929
227,-0.105849
228,-0.09434782
229,-0.1020036
230,-0.09613288
231,-0.1547059
232,-0.0556944
233,-0.05557776
234,-1.546382
235,-0.3174234
236,-0.2745774
237,-0.434741
238,-0.2583784
239,-0.419834
240,-0.06789891
241,-0.06790754
242,-0.0638385
243,-0.0723129
244,-0.06115702
245,-0.06578007
246,-101.1503
247,-39.70325
248,-1.102536
249,-0.5782848
250,-0.9994933
251,-0.07684319
252,-0.09542654
253,-0.1285395
254,-0.07853995
255,-0.08256964
256,-0.1327557
257,-0.09449245
258,-0.09795899
259,-0.07857651
260,-0.0790006
261,0
262,-1.260147
263,-0.9459752
264,-0.1269212
265,-0.1268654
266,-0.08553866
267,-0.09785698
268,-0.1016492
269,-0.09083853
270,-0.07287434
271,-0.09480282
272,-0.07485548
273,-0.08663612
274,-0.4070164
275,-0.644158
276,-0.2835807
277,-0.4854349
278,-0.07800452
279,-0.3573854
