# DPSum Buffer Dump - 15625 elements
# Index,X,Y,Z,Magnitude
0,-23.50452,-257.692,-32.06949,260.7414
1,39.61866,-107.3147,-80.41618,139.8315
2,-23.50452,-257.692,-32.06949,260.7414
3,-23.50452,-257.692,-32.06949,260.7414
4,-23.50452,-257.692,-32.06949,260.7414
5,325.0219,-1507.343,-378.3599,1587.727
6,21.15713,-64.23115,-87.32217,110.4465
7,-23.50452,-257.692,-32.06949,260.7414
8,-103.2598,-2254.475,-109.9525,2259.515
9,-23.50452,-257.692,-32.06949,260.7414
10,-77.49727,-235.8505,-122.8074,276.971
11,-77.49702,-235.8499,-122.8057,276.9697
12,-23.50452,-257.692,-32.06949,260.7414
13,-78.15058,-237.6019,-127.1857,280.6036
14,-77.2654,-235.2437,-121.2711,275.7104
15,-80.17809,-243.4402,-141.2549,292.651
16,19.63114,-62.72857,-87.35768,109.3235
17,147.3759,-404.7536,-241.6461,493.9008
18,158.8304,-422.2979,-253.1546,517.3489
19,0.0001326305,0.0001335951,1.725015E-05,0.0001890398
20,9.358228E-05,0.0002096001,-1.214211E-05,0.0002298636
21,0.0001733163,0.0001773327,-3.982909E-05,0.000251141
22,1.004684E-05,0.0001613919,4.639816E-05,0.0001682292
23,-8.023145E-06,0.0006352767,9.259267E-05,0.0006420391
24,0.0002053047,0.0001409113,9.184344E-05,0.0002654077
25,-22.95893,-56.1326,-129.4556,142.9571
26,17.11615,-8.608495,14.27626,23.8931
27,-1952.546,-6506.287,20672.3,21759.78
28,20.2304,60.51609,-29.33169,70.22688
29,4.342111,5.030313,-8.019168,10.41465
30,15.44868,-1.386853,-36.41012,39.57628
31,-100.6895,-1.712498,137.86,170.724
32,-4.854465,-96.35002,-51.81582,109.507
33,-239.4854,-44.30496,-65.37293,252.1702
34,-142.5544,-75.43652,-63.3055,173.2628
35,0.0001369973,8.42321E-05,-3.086296E-05,0.0001637554
36,0.0001734368,0.000135229,-1.697737E-05,0.0002205797
37,0.0001734546,0.0001353018,-1.695057E-05,0.0002206364
38,0.0001370102,8.414484E-05,-3.072325E-05,0.000163695
39,4.371017E-05,7.640568E-05,5.384666E-05,0.0001031885
40,6.003009E-05,0.0002305201,-5.659436E-07,0.0002382088
41,343.5052,-279.7616,70.48904,448.5878
42,-963.1108,-72847.57,62801.79,96186.07
43,-9653.179,25567.73,104449.4,107965.6
44,-112.7266,116.6121,65.03529,174.7434
45,-834.984,-129.0044,-225.4406,874.4506
46,-156.2513,11.24317,-10.47425,157.0051
47,-1405.8,256.7562,307.0894,1461.677
48,-152.8018,86.04226,86.82291,195.678
49,-130.1384,103.9577,90.59648,189.6073
50,-20.47964,-0.9491166,43.88336,48.43621
51,79.71412,-14.66352,139.5385,161.3703
52,-9.048143,9.570892,12.35525,18.05888
53,-13.27883,2.834246,19.01564,23.36568
54,15.55451,2.730937,64.87536,66.76985
55,-39.64516,-56.06901,29.55844,74.76078
56,5.52146E-05,6.471651E-05,-5.207414E-05,9.974264E-05
57,7.843658E-05,0.0001412737,-4.292607E-05,0.0001671921
58,-6.94601E-07,9.125456E-05,-5.753089E-05,0.0001078781
59,7.897031E-05,0.0001061347,1.218454E-05,0.0001328508
60,5.742927E-05,0.000271749,-2.144577E-05,0.0002785778
61,2.818556E-05,0.0001996951,3.195059E-06,0.0002016997
62,5.638171E-05,-5.273991E-06,-4.257137E-05,7.084514E-05
63,0.0001169809,0.0002411501,-2.713056E-05,0.0002693955
64,1.821158,-1.83129,2.773965,3.790135
65,0,-1521352,314989,1553619
66,-18801.74,389175,551206.9,675010.9
67,-9.45753E-06,3.888677E-05,1.635044E-05,4.32315E-05
68,-2.5737E-06,5.455876E-05,1.978307E-05,5.809175E-05
69,-2.576475E-06,5.456419E-05,1.980176E-05,5.810334E-05
70,2.170204E-06,6.103076E-06,2.244112E-05,2.335725E-05
71,-6.526708E-06,4.930654E-06,1.784001E-05,1.962588E-05
72,-6.54779E-06,4.91414E-06,1.783013E-05,1.961978E-05
73,20.97998,-14.13372,1.879046,25.36636
74,-263.8927,104.492,-117.6246,307.2352
75,-73.19235,-11.91921,36.42296,82.61852
76,-198.1233,454.9629,685.3959,846.1747
77,136.204,93.48458,339.7836,377.8145
78,-76.9359,150.8837,-31.52071,172.2747
79,3.920274,-9.853651,27.62084,29.58672
80,-230.4773,-341.8398,163.4692,443.5047
81,-618.0305,78.97859,-118.7433,634.2707
82,37.15273,-75.97105,120.1901,146.9612
83,-441.9985,385.7828,452.7388,741.0557
84,-164.1098,-79.35191,243.1452,303.8887
85,0.0001431947,0.0002089616,7.422525E-05,0.0002639679
86,3.971344E-05,0.0001062578,9.092713E-05,0.000145381
