# Densities Buffer Dump - 46875 elements
# Index,Value
0,50.67404
1,100.0059
2,50.67404
3,50.67404
4,50.67404
5,56.08676
6,88.03461
7,50.67404
8,61.95088
9,50.67404
10,106.6257
11,106.6259
12,50.67404
13,106.2093
14,106.7722
15,104.8793
16,87.11302
17,80.1087
18,79.088
19,25.58877
20,25.51485
21,25.64955
22,25.30773
23,25.81685
24,25.1595
25,1.668617
26,1.297675
27,2.438669
28,0.3694747
29,0.3628211
30,0.6901039
31,16.50859
32,15.08472
33,16.14317
34,9.687495
35,25.41242
36,25.4068
37,25.40718
38,25.41155
39,25.27727
40,25.34645
41,1.01131
42,2.16547
43,1.095192
44,18.98007
45,15.49683
46,8.77622
47,11.7288
48,20.05525
49,22.03673
50,24.51783
51,11.91952
52,22.16475
53,22.08419
54,21.80851
55,13.5907
56,25.61734
57,25.70391
58,25.71502
59,25.58449
60,25.52255
61,25.63245
62,25.50356
63,25.67997
64,0.4094515
65,0.635972
66,1.151882
67,15.01311
68,22.82845
69,22.8267
70,23.5561
71,24.80958
72,24.81027
73,1.187494
74,10.80555
75,10.4739
76,24.84378
77,15.15046
78,16.97056
79,1.069304
80,14.01038
81,11.81817
82,20.78018
83,10.98182
84,8.664541
85,25.66522
86,25.69453
87,25.30327
88,25.38865
89,25.31515
90,25.83149
91,25.99153
92,25.75896
93,0.4616421
94,2.915062
95,5.404856
96,2.255194
97,8.073784
98,3.507024
99,25.16059
100,25.24627
101,25.24621
102,25.19625
103,25.04866
104,25.1956
105,20.50875
106,25.09059
107,24.57565
108,25.09012
109,24.57533
110,18.98509
111,18.97956
112,0.7159063
113,0.3714688
114,24.74047
115,77.1168
116,83.53281
117,80.32915
118,74.38248
119,17.1527
120,22.60652
121,84.89023
122,83.58552
123,83.1656
124,4.238868
125,0.1066515
126,3.052231
127,6.226761
128,16.56122
129,1.463692
130,26.4498
131,26.53384
132,26.77551
133,26.65119
134,26.80824
135,26.63334
136,8.195776
137,9.564007
138,16.12617
139,10.88514
140,20.31922
141,7.118786
142,19.75361
143,19.41449
144,14.15549
145,18.70988
146,18.78885
147,24.074
148,24.55124
149,13.87596
150,24.87083
151,24.05271
152,25.34098
153,24.5544
154,22.59241
155,25.37899
156,25.23044
157,0.08073471
158,0.0297114
159,0.6416639
160,2.059913
161,0.8280514
