# Dii Buffer Dump - 15625 elements
# Index,X,Y,Z,Magnitude
0,-1.600448E-05,-5.050779E-06,-2.293075E-05,2.841607E-05
1,4.966189E-06,-1.220609E-06,-5.757549E-06,7.700798E-06
2,-1.600448E-05,-5.050779E-06,-2.293075E-05,2.841607E-05
3,-1.600448E-05,-5.050779E-06,-2.293075E-05,2.841607E-05
4,-1.600448E-05,-5.050779E-06,-2.293075E-05,2.841607E-05
5,7.005774E-06,2.902141E-05,2.924322E-06,2.999791E-05
6,6.153703E-06,-1.39079E-06,-6.507385E-06,9.063576E-06
7,-1.600448E-05,-5.050779E-06,-2.293075E-05,2.841607E-05
8,-6.098048E-06,2.770486E-05,-8.648649E-06,2.965712E-05
9,-1.600448E-05,-5.050779E-06,-2.293075E-05,2.841607E-05
10,-4.38905E-06,-9.082507E-07,6.068449E-06,7.544186E-06
11,-4.389035E-06,-9.082499E-07,6.068399E-06,7.544138E-06
12,-1.600448E-05,-5.050779E-06,-2.293075E-05,2.841607E-05
13,-4.428455E-06,-9.103197E-07,6.195011E-06,7.669293E-06
14,-4.375284E-06,-9.075308E-07,6.023852E-06,7.500234E-06
15,-4.55698E-06,-9.171378E-07,6.594962E-06,8.068503E-06
16,6.211163E-06,-1.408062E-06,-6.573266E-06,9.152541E-06
17,3.440068E-07,-1.732006E-06,7.759211E-06,7.957609E-06
18,8.710194E-10,-1.75629E-06,8.279882E-06,8.464101E-06
19,-1.472058E-06,5.766446E-06,5.482471E-07,5.976573E-06
20,-3.009035E-06,5.855371E-06,5.622653E-07,6.607253E-06
21,-3.452151E-06,-8.525885E-06,4.074688E-07,9.207285E-06
22,1.106491E-06,-1.019692E-05,9.445412E-07,1.030018E-05
23,1.858341E-06,6.424783E-06,-1.534855E-06,6.862001E-06
24,-3.716157E-07,-3.877005E-06,-4.94051E-07,3.925984E-06
25,0.0001708953,-7.155336E-05,-0.0008824559,0.0009016948
26,-0.0006600429,0.0001285969,-0.0005533441,0.0008708521
27,-0.000365163,-0.0003210523,1.682935E-05,0.0004865201
28,-0.001249406,-0.005795753,0.01014596,0.01175127
29,-0.002407072,0.01051491,-0.008955857,0.01402015
30,0.002774384,-0.001125905,-0.006219261,0.006902469
31,-3.121493E-05,4.01253E-06,-1.479384E-05,3.477542E-05
32,-3.440508E-05,4.277354E-05,4.565108E-06,5.508289E-05
33,-5.109405E-05,-1.71854E-05,1.25649E-05,5.535175E-05
34,-8.787497E-05,9.346745E-05,-5.257057E-05,0.0001386428
