# IterPressures Buffer Dump - 15625 elements
# Index,Value
0,6610870
1,8042435
2,6587637
3,6587637
4,6587638
5,3.934774E+07
6,6699521
7,6587638
8,4.200585E+07
9,6601366
10,1.823846E+07
11,1.823851E+07
12,6587638
13,1.812617E+07
14,1.82808E+07
15,1.784426E+07
16,6722929
17,4.746664E+07
18,4.541798E+07
19,18.93722
20,12.46328
21,22.83838
22,19.47388
23,21.14152
24,6.988239
25,0
26,32170.94
27,6.982506E+07
28,1775.523
29,0
30,0
31,2519191
32,8053396
33,863165.3
34,2155716
35,25.73635
36,30.0912
37,30.32629
38,25.58081
39,8.898798
40,6.463441
41,0
42,3562913
43,2.782084E+07
44,2300232
45,3393758
46,801840.1
47,0
48,2368630
49,4504240
50,239662.2
51,0
52,311735.9
53,335520.8
54,0
55,11512.92
56,21.74869
57,22.76044
58,17.66387
59,24.98282
60,9.764314
61,16.78577
62,15.17409
63,20.79665
64,7150.221
65,1.420791E+08
66,6.635811E+08
67,0
68,0
69,0
70,0
71,0.8520103
72,0.8817343
73,125.0625
74,2080804
75,3352567
76,7704222
77,1.112043E+07
78,9821019
79,4649.09
80,1368193
81,3559201
82,2688652
83,768795.8
84,846476.8
85,22.60958
86,23.21577
87,5.742353
88,16.06475
89,7.0457
90,26.45431
91,19.34315
92,25.20232
93,17689.36
94,166540.7
95,0
96,1.799508E+08
97,2.645848E+07
98,2.378529E+08
99,4.444737
100,11.8483
101,11.84653
102,10.37263
103,5.897089
104,10.22303
105,0
106,1.015684
107,1.130999
108,0.9877734
109,1.096534
110,0
111,0
112,72033.23
113,25325.82
114,3.074827E+07
115,0
116,1.392488E+08
117,0
118,0
119,1.41589E+07
120,1.535311E+08
121,3.45207E+08
122,9.10975E+07
123,3.755867E+07
124,0
125,834.2516
126,10511.21
127,3005332
128,2588300
129,6169841
130,40.72807
131,46.42498
132,51.27523
133,45.03157
134,36.58449
135,37.96368
136,0
137,353947.3
138,0
139,0
140,38007.39
141,5.692516E+08
142,6.033219E+08
143,2.511125E+08
144,0
145,5765280
146,7.66304E+07
147,0
148,0
149,0
150,2.735175
151,0
152,5.637463
153,0
154,0
155,10.65133
156,4.069972
157,251.8947
158,3048.178
159,1.100212E+07
160,2089.577
161,0
162,1283541
163,0
164,1.497018E+07
165,2.766665
166,2.89985
167,2.893002
168,0.6331282
169,2.93816
170,1.236758
171,2.765741
172,1.585223
173,1.557008
174,5.905551
175,5.903159
176,2.179573
177,2.183299
178,2.94847
179,9.651991
180,10.60721
181,0
182,1.627203E+10
183,1.314624E+10
184,0
185,2408.132
186,3860425
187,0
188,2.172958
189,1.860106
190,1.456725
191,2.431145
192,7.054648
193,0
194,3.741353
195,3.876632
196,10.21396
197,4.199114
198,6.273514
199,6.336064
200,3.742765
201,11.42389
202,8.004678
203,278.1327
204,17751.77
205,3.074272E+08
206,5.858609E+08
207,2296306
208,431887.3
209,869631.1
210,0
211,3.381601
212,2.344899
213,3.785734
214,0.2934972
215,2.351698
216,3.717851
217,3.133709
218,3.347542
219,2.697291
220,8.976048
221,8.982521
222,0
223,14.89444
224,3.481558
225,9.522625
226,0
227,6.691946
228,3.126156
229,7.903811
230,22.67807
231,0
232,15.98207
233,0
234,13789.08
235,2.772122E+08
236,4.751208E+08
237,9.052872E+08
238,0
239,1.756031E+09
240,5.923455
241,5.834177
242,10.30068
243,0
244,1.806251
245,5.915898
246,3.507087
247,30.56765
248,0
249,3671007
250,965092.3
251,5.247716
252,4.687267
253,2.334391
254,4.963817
255,1.740081
256,2.709024
257,5.17201
258,0
259,4.915316
260,2.045365
261,0
262,0
263,0
264,0
265,0
266,32.33125
267,31.5095
268,28.22871
269,36.91508
270,40.29686
271,39.70724
272,44.12131
273,39.44578
274,401598.3
275,0
276,207925
277,285162.6
278,0
279,0
280,7.170157E+09
281,5.777279E+09
282,8.264943E+09
283,8.254158E+09
284,6.915907E+09
285,0
286,0
287,0
288,0
289,5475.725
290,6.200203
291,5.123186
292,0
293,3.086142
294,3.350356
295,2.43351
296,6.166729
297,5.933654
298,1873.225
299,2725.14
300,658.6771
301,1336.802
302,1337.574
303,475.6481
304,1718346
305,2008544
306,3742.433
307,374.3622
308,8.589122
309,6.037251
310,8.559887
311,7.16314
312,7.760527
313,5.684164
314,6.036264
315,5.706473
316,7.869588
317,5.638927
318,41.58531
319,0
320,80.57838
321,2140.627
322,1145.63
323,582.1087
324,2112.602
325,926.3922
326,0
327,2.842265E+07
328,329464.6
329,3.972747E+08
330,5.234419E+07
331,82612.78
332,55910.04
333,5.010905
334,6.902112
335,6.598921
336,9.808596
337,6.290573
338,9.901369
339,7.797036
340,10.9106
341,0.4313723
342,9.597235
343,9.960871
344,13.83726
345,8.781384
346,173.3038
347,242.2866
348,0
349,0
350,248.5035
351,19463.75
352,12364.91
353,229.7268
354,0
355,0
356,0
357,0
358,0
359,2.078883E+08
360,1.615749E+08
361,1.173473E+08
362,1.001983E+08
363,1.128175E+08
364,0
365,0
366,0
367,0
368,6261.713
369,7.829792
370,2.220462
371,6.772821
372,7.414567
373,12.87689
374,12.99758
375,18.76806
376,12.97598
377,223.9704
378,165.5781
379,207740.5
380,3446.728
381,1.018656
382,0
383,1.521549
384,0
385,0.6830736
386,3.499277
387,0
388,1.610953
389,28.95485
390,22.88077
391,11.20871
392,33.38705
393,37.95109
394,23.00283
395,0
396,2915372
397,337583.3
398,561888.4
399,3.340884E+08
400,1.674828E+08
401,1.23953E+09
402,3.57958E+08
403,7.412381E+08
404,3.340903E+08
405,37297.02
406,19.93075
407,5.574653
408,6.283347
409,9.11445
410,19.72894
411,17.07534
412,14.06209
413,17.08172
414,6.388427
415,1140.667
416,840.7524
417,1140.863
418,0
419,3.611611
420,3.233427
421,3.481807
422,3.620075
423,0
424,0
425,3.587171
426,0
427,0
428,14276.12
429,1330.545
430,295605.3
431,1020625
432,15.31023
433,23.98323
434,5.94854
435,14.80038
436,32.72475
437,24.17945
438,29.93917
439,15.59734
440,34.553
441,29.9202
442,20.80621
443,937.1208
444,254.2304
445,0
446,6822.921
447,6430.27
448,0
449,0
450,0
451,2.894959
452,3.348509
453,9.939778
454,0
455,0
456,0
457,3.9945
458,0
459,5126.38
460,28412.35
461,796.5657
462,0
463,653296.9
464,1324567
465,1137263
466,644007
467,44.05386
468,23.06264
469,0.1890846
470,0
471,0
472,13.8136
473,0.2567985
474,17.37541
475,1644.289
476,342.8978
477,1474.624
478,2820.668
479,12437.7
480,1.191754
481,5.309257
482,2.313397
483,3.040968
484,3.667015
485,2.784692
486,4.201816
487,6.442165
488,4.841541
489,0
490,2.869625
491,6.09986
492,6.069607
493,4.924602
494,6.399039
495,78199.34
496,38499.64
497,74902.39
498,1512167
499,337862
500,1439613
501,292773.3
502,665146.1
503,4609937
504,2274350
505,1164094
506,6338182
507,6281851
508,0
509,20.76116
510,0
511,52.36071
512,52.18439
513,0
514,1334.476
515,943.1514
516,872.4255
517,684.9818
518,1800.351
519,391.5093
520,791.7515
521,0
522,7566013
523,1.015349E+08
524,2.894688
525,10.2666
526,0.8821459
527,3.377179
528,7.442622
529,8.285962
530,5.490993
531,0
532,5.801227
533,8.019997
534,11.11767
535,11.11763
536,0
537,1503.03
538,0
539,265.6147
540,182612.8
541,796254.6
542,24.12846
543,8.81646
544,17.20564
545,23.06205
546,23.08895
547,8.799952
548,5.50241
549,0
550,0
551,0
552,1.302662E+07
553,1.302032E+07
554,1.073872E+07
555,1.071911E+07
556,7893052
557,1.067679E+07
558,1.053234E+07
559,7892676
560,7643255
561,0
562,29.48708
563,0.8112379
564,336.3011
565,1343.859
566,279.6074
567,450.9509
568,5785225
569,0
570,11.76033
571,2.026263
572,9.609663
573,10.27352
574,3344.178
575,8.895409
576,6.952654
577,109988
578,14.84966
579,6.84726
580,0
581,2.778902
582,14.15495
583,14.85587
584,8.922598
585,224.2844
586,0
587,5378.919
588,42.83241
589,32.33732
590,39.00013
591,30.57886
592,32.3005
593,39.01962
594,0
595,0
596,522.8592
597,569.9461
598,572.9318
599,489.4624
600,924.4271
601,862.5483
602,912.4966
603,0
604,15.50924
605,12.07075
606,21267.34
607,11.86808
608,15.43824
609,16.16144
610,16.338
611,0.08701013
612,5.314167
613,11.30099
614,7.812231
615,12.87815
616,7.894937
617,10.22526
618,6.438257
619,12.90443
620,12.96909
621,13.30456
622,496.9108
623,131.1834
624,625.2043
625,5377536
626,1041258
627,0
628,0
629,63.30689
630,110.4915
631,110.4905
632,0
