# Positions Buffer Dump - 15625 elements
# Index,X,Y,Z,Magnitude
0,-1.46,-1.46,-1.46,2.528794
1,-1.416999,-1.46,-1.46,2.504214
2,-1.46,-1.46,-1.46,2.528794
3,-1.46,-1.46,-1.46,2.528794
4,-1.46,-1.46,-1.46,2.528794
5,-1.404934,-1.436198,-1.432643,2.467584
6,-1.406114,-1.46,-1.46,2.498071
7,-1.46,-1.46,-1.46,2.528794
8,-1.46,-1.437699,-1.46,2.515985
9,-1.46,-1.46,-1.46,2.528794
10,-1.46,-1.46,-1.433169,2.513399
11,-1.46,-1.46,-1.433169,2.513399
12,-1.46,-1.46,-1.46,2.528794
13,-1.46,-1.46,-1.433036,2.513323
14,-1.46,-1.46,-1.433215,2.513425
15,-1.46,-1.46,-1.432606,2.513078
16,-1.405323,-1.46,-1.46,2.497626
17,-1.410742,-1.46,-1.406887,2.470045
18,-1.411583,-1.46,-1.405969,2.470003
19,0.7494031,-1.21525,-1.044609,1.76908
20,0.7795177,-1.198094,-1.052487,1.775051
21,0.7751113,-1.239449,-1.09752,1.828
22,0.7862782,-1.244211,-1.048163,1.806915
23,0.750591,-1.284333,-1.053995,1.82313
24,0.7213426,-1.248545,-1.033752,1.774216
25,-0.307494,-1.221322,-1.021804,1.621808
26,-0.3778705,-1.240277,-1.04457,1.664992
27,-1.46,-1.236972,-1.010963,2.164196
28,-0.3782603,-1.050578,-0.6249373,1.279587
29,-0.3046395,-1.083186,-0.6698942,1.309525
30,-0.3419025,-1.001954,-0.6939111,1.265829
31,-1.46,-1.055143,-0.6189044,1.904723
32,-1.46,-1.076141,-0.6735094,1.93476
33,-1.46,-1.071408,-0.6063111,1.909745
34,-1.46,-1.031757,-0.6600392,1.905721
35,0.7501996,-1.243821,-1.166958,1.863245
36,0.7205325,-1.240139,-1.103638,1.809732
37,0.7205387,-1.240137,-1.103666,1.80975
38,0.7501984,-1.243825,-1.166948,1.86324
39,0.7935326,-1.249869,-1.134764,1.865357
40,0.7771131,-1.204128,-1.108586,1.811848
41,-0.34902,-1.247673,-1.187606,1.75753
42,-1.46,-1.272187,-1.093243,2.22379
43,-1.46,-1.198693,-1.147158,2.210076
44,-1.46,-1.028364,-0.7950863,1.954813
45,-1.435134,-1.067776,-0.782835,1.952584
46,-1.46,-1.023886,-0.7340036,1.928394
47,-1.441087,-1.047388,-0.7016243,1.914688
48,-1.46,-1.080236,-0.7529393,1.966069
49,-1.46,-1.04679,-0.790617,1.962765
50,-1.46,-0.8545861,-0.3463442,1.72681
51,-1.414207,-0.8219796,-0.362894,1.675507
52,-1.46,-0.860681,-0.3167195,1.724147
53,-1.46,-0.8925554,-0.3103066,1.739122
54,-1.435487,-0.8374407,-0.3450238,1.697342
55,-1.46,-0.8712574,-0.3887335,1.744077
56,0.7637181,-1.250689,-1.275929,1.94306
57,0.7960399,-1.24246,-1.203462,1.904129
58,0.8032166,-1.236052,-1.277931,1.95092
59,0.7350405,-1.239105,-1.238846,1.900106
