# Velocities Buffer Dump - 15625 elements
# Index,X,Y,Z,Magnitude
0,1.239045,4.20538,1.828125,4.75
1,2.456761,2.771196,3.071771,4.811546
2,1.237434,4.206841,1.825856,4.75
3,1.237434,4.206841,1.825856,4.75
4,1.237434,4.206841,1.825856,4.75
5,2.835157,-3.840428,-1.487615,5
6,2.11912,2.206531,3.693358,4.795867
7,1.237434,4.206841,1.825856,4.75
8,0.5764103,-4.886506,0.8248704,4.989048
9,1.238379,4.205982,1.827193,4.75
10,2.129973,3.991517,-1.523048,4.773748
11,2.129978,3.991522,-1.523025,4.773747
12,1.237434,4.206841,1.825856,4.75
13,2.118747,3.97772,-1.579353,4.775532
14,2.13387,3.99633,-1.502885,4.773124
15,2.081826,3.932848,-1.749143,4.781297
16,2.06282,2.201133,3.725207,4.793473
17,2.079537,3.915361,-1.920759,4.831547
18,2.059332,3.912014,-1.949865,4.83184
19,3.245647,0.4972395,0.1519236,3.287028
20,3.084241,0.7886795,0.1461052,3.186833
21,2.940325,0.3719903,0.0387843,2.964016
22,2.865256,0.5305519,0.2058139,2.921221
23,2.892143,1.207399,0.3591259,3.154563
24,3.094809,0.7381294,-0.0313046,3.18177
25,0.2452967,-1.750375,-4.677181,5
26,-3.857267,0.6379627,-3.116808,5
27,2.638553,-3.257992,2.582907,4.924214
28,1.749681,4.467464,1.407259,5
29,0.2416789,3.548622,-3.514096,5
30,2.060162,-0.1516529,-4.553321,5
31,2.530098,-0.2814555,4.222301,4.930359
32,3.487493,3.377152,0.3438989,4.86683
33,4.641615,-0.5772564,-0.8914368,4.761562
34,3.311456,-3.278887,-1.448619,4.880096
35,3.075349,0.579906,0.03621352,3.129756
36,3.143538,0.4427637,0.05888661,3.175112
37,3.145387,0.4425902,0.0482836,3.17674
38,3.076184,0.5809838,0.03585576,3.130772
39,2.682323,0.2867303,0.1109714,2.699887
40,2.875222,0.7112512,0.2320934,2.970968
41,3.595531,-3.388964,0.7662128,5
42,0.105516,-3.484855,3.583776,4.99988
43,1.404207,4.72267,-0.7152461,4.978652
44,3.142078,3.486724,1.379683,4.89218
